githubFile,Reviewers,DateReviewed,Status,HITLnotes
ATOSU-58336-00007__20170117.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00007__20180108.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00007__20191230.csv,"WR,EH",4/9/20,Clear,
ATOSU-58336-00007__20211108.csv,"MV,WR",7/15/22,Clear,
ATOSU-58336-00008__20150409.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00008__20170111.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00008__20180912.csv,"KB,WR",4/30/19,Clear,
ATOSU-58336-00008__20190508.csv,"WR,EH",4/9/20,Clear,
ATOSU-58336-00008__20201117.csv,"MV,WR",5/26/21,Clear,
ATOSU-58336-00008__20211108.csv,"MV,WR",7/15/22,Clear,
ATOSU-58337-00007__20131218.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00007__20160506.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00007__20171004.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00007__20191104.csv,"WR,EH",4/9/20,Clear,
ATOSU-58337-00007__20211020.csv,"MV,WR",7/15/22,Clear,
ATOSU-58337-00008__20140414.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00008__20160506.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00008__20171003.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00008__20191111.csv,"WR,EH",4/9/20,Clear,
ATOSU-58337-00008__20211101.csv,"MV,WR",7/15/22,Clear,
ATOSU-58337-00011__20150317.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00011__20170203.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00011__20171211.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00011__20200909.csv,"MV,WR",5/26/21,Clear,
ATOSU-58337-00012__20150318.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00012__20170214.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00012__20170504.csv,"KB,WR",4/30/19,Clear,
ATOSU-58337-00012__20191011.csv,"WR,EH",4/9/20,Clear,
ATOSU-58337-00012__20201103.csv,"MV,WR",5/26/21,Clear,
ATOSU-66645-00005__20131218.csv,"KB,WR",5/1/19,Clear,
ATOSU-66645-00005__20160111.csv,"KB,WR",5/1/19,Clear,
ATOSU-66645-00008__20150619.csv,"KB,WR",5/1/19,Clear,
ATOSU-66645-00008__20160111.csv,"KB,WR",5/1/19,Clear,
ATOSU-66645-00008__20171206.csv,"KB,WR",5/1/19,Clear,
ATOSU-66645-00008__20191002.csv,"WR,KG",4/9/20,Clear,
ATOSU-66662-00006__20160301.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATOSU-66662-00007__20160301.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATOSU-66662-00014__20150412.csv,"MV,WR",12/19/19,Clear,Added pressure offset for miscalibrated Sea-Bird Druck Pressure Sensors (Redmine #12180)
ATOSU-68020-00005__20140830.csv,,,NotClear,shipboard cal?? sn 344
ATOSU-68020-00005__20160719.csv,,,NotClear,should be 20160716? sn 344
ATOSU-68020-00005__20170908.csv,,,NotClear,should be 20170825? sn344
ATOSU-68020-00005__20180613.csv,,,NotClear,is this 20180621??? sn344
ATOSU-68020-00008__20150803.csv,,,NotClear,should be 20150802??? sn 625
ATOSU-69943-00011__20140815.csv,"KB,WR",4/30/19,NotClear,received two 2013 files from seabird; no 2014...neither tcal matches... not sure where numbers are coming from
ATOSU-70110-00007__20131205.csv,"KB,WR",4/30/19,Clear,uses 2015 volume scatter calibration
ATOSU-70570-00001__20130311.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00001__20160513.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00001__20180220.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00001__20200108.csv,"WR,EH",4/9/20,Clear,
ATOSU-70570-00001__20211108.csv,"MV,WR",7/15/22,Clear,
ATOSU-70570-00002__20140121.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00002__20160502.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00002__20180326.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00002__20200108.csv,"WR,EH",4/9/20,Clear,
ATOSU-70570-00002__20211108.csv,"MV,WR",7/15/22,Clear,
ATOSU-70570-00003__20140421.csv,"KB,WR",4/30/19,Clear,
ATOSU-70570-00003__20170117.csv,"KB,WR",4/30/19,Clear,
